MODELO;SERIAL ;UBICACION;INCIDENTE ;FECHA DE SOLICITUD;O.S;FECHA DE SERVICIO;TRABAJO REALIZADO POR ST - OBSERVACIONES;UBICACION;RESPONSABLE
P3045dn;VM38Z27771;CONTABILIDAD3;RAYAS EN IMPRESION;29/10/2025;OS 4340514;31/10/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
P3155dn;R4A2X53602;CONTADORA;RAYAS EN IMPRESION;29/10/2025;OS 4340516;31/10/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3655idn;R4P8916296;REGISTRO Y CONTROL;NO ARRANCA ;31/10/2025;OS 4342054;31/10/2025;SD QUEMADA;PAMPALINDA;CAMACHO
P3155dn;R4A2X53787;GESTION HUMANA;MANCHAS IMPRESION;31/10/2025;OS 4342074;31/10/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3655IDN;R4P8916180;FACULTAD CIENCIAS BASICAS;MANCHAS IMPRESION;11/04/2025;OS 4343288;11/04/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3145idn;R4V8802454;AUDITORIA INTERNA;RAYAS EN IMPRESION;11/04/2025;OS 4343298;11/04/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13721;COMPRAS Y SUMINISTROS;RUIDO ;11/04/2025;OS 4343304;11/06/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3155dn;R4A2X53607;CERTIFICADOS  ACADEMICOS;RAYAS EN IMPRESION;11/06/2025;OS 4347232;11/06/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3145idn;R4V8802381;DIR. BIENENESTAR UNIVERSITARIO;RAYAS EN IMPRESION;11/06/2025;OS 4347310;11/06/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
MA5500IFX;WDS3X13750;CENTRO DE CONCILIACIÓN Y ARBIT.;RAYAS EN IMPRESION;13/11/2025;OS 4353856;14/11/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3145idn;R4V8802391;CLINICA_VET_RECEPCION;FALLO EN UNID SEC.;12/02/2025;OS 4370704;12/02/2025;FALLA EN TARJETA ;PAMPALINDA;CAMACHO
P3045dn;VM38Z27751;CLINICA VETERINARIA;CONFIGURACION;12/02/2025;OS 4371550 ;12/02/2025;CONFIGURACION;PAMPALINDA;CAMACHO
M3145idn;R4V8802382;DIRECCION GESTION DE LA CALIDAD;LIMPIEZA Y MANTENIM.;12/12/2025;OS 4380186;15/12/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESUS
M3655idn;R4P8916483;CONTABILIDAD ;RAYAS EN IMPRESION;16/12/2025;OS 4382788;17/12/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESUS
M3145idn;R4V8802440;SERVICIOS FINANCIEROS;MANCHAS IMPRESION;27/01/2026;OS 4412894;28/01/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
P3155dn;R4A2X53605;FINANCIERO CAJA;RUIDO ;27/01/2026;OS 4412896;28/01/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
P3155DN;R4A2X53610;ICETEX;LIMPIEZA Y MANTENIM.;27/01/2026;OS 4412900;28/01/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
P3155dn;R4A2X53349;VENTANILLA;LIMPIEZA Y MANTENIM.;27/01/2026;OS 4412916;28/01/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
M3145IDN;R4V8802447;UNIDAD DE MERCADEO;LIMPIEZA Y MANTENIM.;27/01/2026;OS 4412928;28/01/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
